ticket,type,comment,entry_time,exit_time,entry_price,exit_price,pnl,reason
64,BUY,STACK,2026-01-26 17:42:00,2026-01-26 18:33:00,5100.027,5073.1900000000005,-26.836999999999534,STACK_SL
65,BUY,STACK,2026-01-26 18:35:00,2026-01-26 19:01:00,5069.281999999999,5059.322,-9.959999999999127,STACK_TRAIL_KILL
66,BUY,STACK,2026-01-26 19:03:00,2026-01-26 19:17:00,5041.892,5044.709000000001,2.8170000000009168,STACK_TRAIL_KILL
67,BUY,STACK,2026-01-26 19:19:00,2026-01-26 19:48:00,5040.476,5012.066000000001,-28.409999999998945,STACK_SL
68,BUY,STACK,2026-01-26 19:50:00,2026-01-26 20:00:00,5011.665999999999,5036.402,24.736000000000786,STACK_TP
69,BUY,STACK,2026-01-26 20:00:00,2026-01-26 20:32:00,5036.701999999999,5057.504000000001,20.8020000000015,STACK_TP
70,BUY,STACK,2026-01-26 20:32:00,2026-01-26 21:15:00,5057.804,5032.647,-25.157000000000153,STACK_SL
71,BUY,STACK,2026-01-26 21:17:00,2026-01-26 21:36:00,5028.843,5001.474,-27.368999999999687,STACK_SL
72,BUY,STACK,2026-01-26 21:38:00,2026-01-26 23:01:00,4999.620999999999,5026.237,26.616000000000895,STACK_TP
73,BUY,STACK,2026-01-26 23:01:00,2026-01-26 23:19:00,5026.536999999999,5046.994000000001,20.457000000001244,STACK_TP
74,BUY,STACK,2026-01-26 23:19:00,2026-01-26 23:59:00,5047.294,5043.479,-3.8149999999996,STACK_TRAIL_KILL
75,BUY,STACK,2026-01-27 00:01:00,2026-01-27 00:50:00,5046.833,5019.263,-27.56999999999971,STACK_SL
76,BUY,STACK,2026-01-27 00:52:00,2026-01-27 01:05:00,5018.579,5043.116,24.537000000000262,STACK_TP
77,BUY,STACK,2026-01-27 01:05:00,2026-01-27 01:13:00,5043.415999999999,5067.694,24.278000000001157,STACK_TP
78,BUY,STACK,2026-01-27 01:13:00,2026-01-27 03:16:00,5067.994,5063.554,-4.4399999999996,STACK_TRAIL_KILL
79,BUY,STACK,2026-01-27 03:18:00,2026-01-27 06:46:00,5069.2339999999995,5089.192,19.95800000000054,STACK_TP
80,BUY,STACK,2026-01-27 06:46:00,2026-01-27 08:02:00,5089.491999999999,5084.798000000001,-4.693999999998596,STACK_TRAIL_KILL
81,BUY,STACK,2026-01-27 08:04:00,2026-01-27 10:33:00,5086.263999999999,5082.523,-3.740999999999076,STACK_TRAIL_KILL
82,BUY,STACK,2026-01-27 10:35:00,2026-01-27 14:05:00,5086.161999999999,5059.098,-27.063999999999396,STACK_SL
83,BUY,STACK,2026-01-27 14:07:00,2026-01-27 14:49:00,5068.822999999999,5065.093000000001,-3.729999999998654,STACK_TRAIL_KILL
84,BUY,STACK,2026-01-27 14:51:00,2026-01-27 15:33:00,5058.218,5078.4890000000005,20.27100000000064,STACK_TP
85,BUY,STACK,2026-01-27 15:33:00,2026-01-27 16:19:00,5078.789,5099.861000000001,21.072000000001026,STACK_TP
86,BUY,STACK,2026-01-27 16:19:00,2026-01-27 20:05:00,5100.161,5120.711,20.550000000000182,STACK_TP
87,BUY,STACK,2026-01-27 20:05:00,2026-01-27 20:14:00,5121.0109999999995,5141.642000000001,20.631000000001222,STACK_TP
88,BUY,STACK,2026-01-27 20:14:00,2026-01-27 20:48:00,5141.942,5163.524,21.582000000000335,STACK_TP
89,BUY,STACK,2026-01-27 20:48:00,2026-01-27 21:03:00,5163.824,5183.939,20.11500000000069,STACK_TP
1,BUY,CORE,2026-01-20 23:03:00,2026-01-27 21:57:00,4763.105,5180.365000000001,417.2600000000011,END_OF_BACKTEST
90,BUY,STACK,2026-01-27 21:03:00,2026-01-27 21:57:00,5184.239,5180.365000000001,-3.873999999998887,END_OF_BACKTEST
